timestamp,temperature,humidity,fan,light_level,light
2026-05-10 10:05:53.611317,30,72,0,150,1
2026-05-10 11:59:05.022352,30,72,1,150,1
2026-05-10 12:00:24.192315,25.0,50.0,1,400.0,0
2026-05-10 12:39:42.686749,30,72,1,150,1
2026-05-10 14:47:17.753529,27,60,1,200,0
2026-05-10 14:49:04.061685,30,72,0,150,1
2026-05-10 14:49:04.086459,31,70,0,120,1
2026-05-10 14:49:04.088243,29,65,0,700,0
2026-05-10 14:49:04.107985,32,80,1,90,1
2026-05-11 00:03:18.892268,27,60,1,200,0
2026-05-11 00:03:48.930313,30,72,0,150,1
2026-05-11 00:03:48.933175,31,70,0,120,1
2026-05-11 00:03:48.939145,29,65,0,700,0
2026-05-11 00:03:48.941075,32,80,1,90,1
2026-05-11 00:30:04.854280,27,60,1,200,0
2026-05-13 08:22:41.017752,33.1,69.5,0,1.0,1
2026-05-13 08:25:02.269890,33.1,69.5,1,1.0,1
2026-05-13 08:25:19.869475,33.1,69.5,1,1.0,1
2026-05-13 08:25:35.213199,33.1,69.5,1,1.0,0
2026-05-13 08:35:50.653855,33.1,69.5,1,1.0,0
2026-05-13 08:36:02.010242,33.1,69.5,1,1.0,1
2026-05-13 08:36:12.295988,33.1,69.5,0,1.0,1
2026-05-13 08:39:28.719919,33.1,69.5,0,1.0,0
2026-05-13 08:40:39.301544,33.1,69.5,1,1.0,0
2026-05-13 08:40:50.401559,33.1,69.5,0,1.0,0
2026-05-13 08:41:02.079907,33.1,69.5,1,1.0,0
2026-05-13 08:41:13.010042,33.1,69.5,0,1.0,0
2026-05-13 08:41:23.716441,33.1,69.5,1,1.0,0
2026-05-13 08:41:34.894446,33.1,69.5,0,1.0,0
2026-05-13 08:41:47.432434,33.1,69.5,1,1.0,0
2026-05-13 08:41:58.118743,33.1,69.5,0,1.0,0
2026-05-13 08:42:09.196339,33.1,69.5,1,1.0,0
2026-05-13 08:42:19.715628,33.1,69.5,0,1.0,0
2026-05-13 08:42:30.524164,33.1,69.5,1,1.0,0
2026-05-13 08:42:41.552127,33.1,69.5,0,1.0,0
2026-05-13 08:42:52.654325,33.1,69.5,1,1.0,0
2026-05-13 08:43:04.300354,33.1,69.5,0,1.0,0
2026-05-13 08:43:15.409418,33.1,69.5,1,1.0,0
2026-05-13 08:43:25.931958,33.1,69.5,0,1.0,0
2026-05-13 08:43:37.550699,33.1,69.5,1,1.0,0
2026-05-13 08:43:48.240480,33.1,69.5,0,1.0,0
2026-05-13 08:43:59.985947,33.1,69.5,1,1.0,0
2026-05-13 08:44:10.358079,33.1,69.5,0,1.0,0
2026-05-13 08:44:20.959795,33.1,69.5,1,1.0,0
2026-05-13 08:44:32.089504,33.1,69.5,0,1.0,0
2026-05-13 08:44:43.017272,33.1,69.5,1,1.0,0
2026-05-13 08:44:54.282121,33.1,69.5,0,1.0,0
2026-05-13 08:45:06.049348,33.1,69.5,1,1.0,0
2026-05-13 08:45:16.463281,33.1,69.5,0,1.0,0
2026-05-13 08:45:30.499098,33.1,69.5,1,1.0,0
2026-05-13 08:45:42.143761,33.1,69.5,0,1.0,0
2026-05-13 08:45:55.405733,33.1,69.5,1,1.0,0
2026-05-13 08:46:07.035816,33.1,69.5,0,1.0,0
2026-05-13 08:46:23.799819,33.1,69.5,1,1.0,0
2026-05-13 08:46:40.219149,33.1,69.5,0,1.0,0
2026-05-13 08:46:51.395416,33.1,69.5,1,1.0,0
2026-05-13 08:47:04.274105,33.1,69.5,0,1.0,0
2026-05-13 08:47:17.630839,33.1,69.5,1,1.0,0
2026-05-13 08:47:31.410094,33.1,69.5,0,1.0,0
2026-05-13 08:47:44.427636,33.1,69.5,1,1.0,0
2026-05-13 08:47:55.138448,33.1,69.5,0,1.0,0
2026-05-13 08:48:07.422670,33.1,69.5,1,1.0,0
2026-05-13 08:48:19.187651,33.1,69.5,0,1.0,0
2026-05-13 08:48:34.248136,33.1,69.5,1,1.0,0
2026-05-13 08:48:50.013008,33.1,69.5,0,1.0,0
2026-05-13 08:49:03.563812,33.1,69.5,1,1.0,0
2026-05-13 08:49:20.134248,33.1,69.5,0,1.0,0
2026-05-13 08:49:33.848507,33.1,69.5,1,1.0,0
2026-05-13 08:49:49.708485,33.1,69.5,0,1.0,0
2026-05-13 08:50:02.391821,33.1,69.5,1,1.0,0
2026-05-13 08:50:17.368511,33.1,69.5,0,1.0,0
2026-05-13 08:50:30.513876,33.1,69.5,1,1.0,0
2026-05-13 08:50:59.536648,33.1,69.5,0,1.0,0
2026-05-13 09:00:31.616997,33.1,69.5,0,1.0,0
2026-05-14 08:59:09.940690,33.1,69.5,0,1.0,1
2026-05-14 08:59:14.280705,33.1,69.5,1,1.0,1
2026-05-14 09:33:34.760806,33.1,69.5,1,1.0,1
2026-05-14 09:33:36.285017,33.1,69.5,1,1.0,1
2026-05-14 09:33:47.331295,33.1,69.5,0,1.0,1
2026-05-14 09:33:48.490560,33.1,69.5,1,1.0,0
2026-05-14 09:34:01.050733,33.1,69.5,0,400.0,1
2026-05-14 09:52:43.217124,33.1,69.5,0,1.0,0
2026-05-14 09:54:24.089236,33.1,69.5,1,1.0,0
2026-05-14 09:54:39.987844,33.1,69.5,1,1.0,1
2026-05-14 09:58:29.260891,33.1,69.5,1,1.0,0
2026-05-14 09:59:10.826069,33.1,69.5,1,1.0,1
